Название;Количество звёзд отеля;Описание отеля;Андрес отеля;Ссылка
Alfajiri Villas and House; 5*;Отель Alfajiri Villas and House (Алфаджири Виллас энд Хаус) 5* расположен на берегу Индийского океана, на знаменитом пляже Diani Beach, в часе перелета на самолете от Момбасы. Alfajiri Villas – частный отель, принадлежащий Фабрицио Молинаро, итальянцу, вот уже более 20 лет живущему в Кении. Отель состоит из трех больших комфортабельных вилл, расположенных в окружении сада из тропический растений и пальмовых деревьев.;P. O. Box 454, Ukunda, Kenya;https://tury.ru/hotel/id/69459-kenya-mombasa-alfajiri-villas-and-house-5
Atrium Platinum Luxury Resort Hotel & Spa / Атриум Платинум Лакшери Ресорт Хотел энд Спа; 5*;Отель Atrium Platinum Resort & Spa (Атриум Платинум Резорт энд Спа) 5* расположен на западном побережье острова Родос, в 200 метрах от прекрасного галечного пляжа Иксия с кристально чистой водой. Недалеко расположен центр Иксии с различными магазинами и ресторанами. Старый город Родос, потрясающий средневековый город, объявленный объектом Всемирного наследия, где когда-то возвышалась величественная статуя Колосса Родосского - одного из семи Чудес Света, находится всего в 3 км от отеля. До аэропорта Диагорас - около 10 км.;Iliados street Ixia Bay, Rhodes – Greece.;https://tury.ru/hotel/id/101266-greece-rhodes-atrium-platinum-luxury-resort-hotel-spa-5
Baltschug Kempinski hotel / Балчуг Кемпински отель; 5*;Отель Балчуг Кемпински (Baltschug Kempinski) 5* расположен в центре Москвы, на берегу Москвы-реки, недалеко от Кремля, Красной площади и собора Василия Блаженного.;Balchug Str. 1, Moscow, Russia;https://tury.ru/hotel/id/68886-russia-moscow-baltschug-kempinski-hotel-5
Djibouti Palace Kempinski; 5*;Отель Djibouti Palace Kempinski 5* (Джибути Палас Кемпински 5*) расположен вдали от городской суеты, но совсем недалеко от международного аэропорта Джибути, в прекрасной живописной гавани между Индийским океаном и Красным морем, в окружении пальм и других экзотических растений. Здание отеля выполнено в ванильных тонах, что особенно неотразимо смотрится на фоне неба. Основной бассейн соединен с детским, и водная гладь смотрится бесконечной.;Ilot du Heron, P.O. Box 1960, Djibouti, Republic of Djibouti;https://tury.ru/hotel/id/70697-djibouti-djibouti-excursion-djibouti-palace-kempinski-5
Grecotel Myconos Blu; 5*;Отель Grecotel  Myconos Blu Grecotel 5* (Миконос Блу Грекотель 5*) находится на прекрасном песчаном пляже Псару в 3,5 км от города Миконос. Все вокруг удивительно яркое: лазурное небо, ярко бирюзовое море, удивительно спокойное в этой бухте, белоснежные яхты на горизонте, перламутровый белый песок и коричневые горы вокруг.  Из окон его номеров открывается великолепный панорамный вид на пляж залива Псару. Роскошный курортный отель внешне украшен в эгейском архитектурном стиле, внутри имеет современную отделку. Отель расположен в 15 минутах от аэропорта Миконоса. Каждый уголок этого удивительного отеля Myconos Blu Grecotel 5* необычен, неповторим, красив и стилен, что характерно и для Миконоса в целом. Если Вы собираетесь в романтическое путешествие или просто хотите внести немного романтики в свою жизнь – лучшего места для отдыха Вам не найти.;84600, Psarou, Myconos, Greece;https://tury.ru/hotel/id/25342-greece-mykonos-grecotel-myconos-blu-5
InterContinental London Park Lane; 5*;Отель InterContinental London Park Lane 5* (Интерконтиненталь Лондон Парк Лэйн) расположен прямо между Гайд-Парком (Hyde Park) и Грин Парком (Green Park) на Пиккадили Лайн (Piccadilli Lane) в самом дорогом районе Лондона Мэйфэир (Mayfair).;1 Hamilton Place, Park Lane, London W1V 0QY;https://tury.ru/hotel/id/33663-great-britain-greater-london-intercontinental-london-park-lane-5
Jumeirah Zabeel Saray; 5*;"Jumeirah Zabeel Saray Hotel 5* (Джумейра Зэбил Сарай Отель 5*) расположен в западной части Пальм Джумейра (Palm Jumeirah) в Дубае и является по-настоящему роскошным пляжным отелем.Jumeirah Zabeel Saray - этот отель-дворец, предлагает своим гостям поистине королевский прием в самых лучших традициях турецкого гостеприимства. Величественная архитектура великолепной эпохи Османской империи, с колоннами и куполами, роскошные виллы и номера, широчайшие возможности инфраструктуры, волнующие виды на Аравийский залив и впечатляющие горизонты Дубая создают все условия для уникального изысканного отдыха.";The Palm Jumeirah, Crescent Road (West) Dubai, UAE;https://tury.ru/hotel/id/98844-uae-palm-jumeirah-jumeirah-zabeel-saray-5
JW Marriott Essex House New York; 5*;"JW Marriott Essex House New York - настоящий памятник архитектуры Нью-Йорка. Не так давно здесь была произведена полная реставрация стоимостью 90 миллионов долларов.В номерах вас ждет обстановка в стиле Арт Деко, высокоскоростной беспроводной Интернет, кабельное телевидение и красивейший вид на Центральный парк и Манхэттен.";160 Central Park South Manhattan, NY 10019;https://tury.ru/hotel/id/64737-usa-new-york-state-jw-marriott-essex-house-new-york-5
Kupu Kupu Barong Villas & Spa by LOccitane; 5*;"Kupu Kupu Barong Villas and Tree Spa 5* (Купу Купу Барон Виллас энд Три Спа 5*) - роскошный отель-бутик, комплекс которого состоит из 34 эксклюзивных вилл, расположен в живописном горном районе в самом сердце Бали - городе Убуд. Территория отеля, окруженная 3 гектарами тропических садов, позволяет Вам любоваться на захватывающие виды долины реки Аюнг и рисовые поля. Отель получил свое название, благодаря бесчисленному количеству прекрасных бабочек, порхающих вокруг - от индонезийского ""kupu kupu"" - ""бабочки"", и ""barong"" - ""очень большие"".Kupu Kupu Barong Villas and Tree Spa был первым отелем класса ""люкс"" в городе Убуд, славящимся своими центрами искусств и балийскими танцами. В течение 20 лет отель принимает знаменитых гостей, знающих толк в хорошем отдыхе.В распоряжении гостей отеля прекрасный ""бескрайний"" бассейн, великолепный ресторан и эксклюзивный спа-центр Le Spa с уникальным Mango Tree Spa - построенном из бамбука павильоном для романтическимх спа процедур для двоих, расположенном на раскидистых ветвях огромного дерева манго.Отель расположен в 1 часе езды от аэропорта г. Денпасар и в 10 минутах езды от города Убуд.";Kedewatan P.O. Box 7. Ubud 80571, Bali, Indonesia;https://tury.ru/hotel/id/50764-indonesia-ubud-kupu-kupu-barong-villas-spa-by-loccitane-5
Nirvana Lagoon Villas Suites & SPA; 5*;"Nirvana Lagoon Villas Suites & SPA 5* - новый роскошный отель в курортном поселке Бельдиби. Он располагается в 36 км от аэропорта Антальи на побережье Средиземного моря. Территория отеля - более 15 гектаров, а длина пляжа - 900 метров. Слоган отеля ""Привилегированная жизнь"" находит свое отражение в каждой детали комплекса. Nirvana выгодно отличается как от соседних отелей, так и от прошлых отелей сети Crystal. Все здания здесь элегантно вписаны в природный ландшафт. Хвойные деревья, пальмы и цветы окружают гостей повсюду, создавая приятную прохладу и непередаваемую натуральную атмосферу. Гармоничным дополнением к этому служат Таврские горы, живописный вид на которые открывается почти из любой точки отеля. Большая часть номерного фонда - виллы, стоящие небольшими группами. Каждый такой блок имеет собственный бассейн с баром. Небольшое количество более скромных номеров располагается в главном корпусе. Самый же роскошный вариант, Villa Nirvana, находится вблизи пляжа и располагает собственным пирсом.";Turkey, Beldibi, Ciftecesmeler Mevkii Ataturk Cad. No:139 Beldibi-2 Kemer/Antalya;https://tury.ru/hotel/id/759657-turkey-beldibi-nirvana-lagoon-villas-suites-spa-5
