Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;2209;3155;30;Йо Ван Гуй;ДМК-Пресс;На складе;https://www.labirint.ru/books/806582/
Информационная безопасность. Защита и нападение;2548;3640;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981050/
Анализ алгоритмов. Активный обучающий подход;496;708;30;Макконнел Джеффри Дж.;Техносфера;На складе;https://www.labirint.ru/books/939430/
Разработка игр и теория развлечений;1954;2791;30;Костер Рэф;ДМК-Пресс;На складе;https://www.labirint.ru/books/843721/
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие;480;686;30;Лукьянов Павел Борисович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/941786/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Комплексное руководство по разработке. От мобильных приложений до веб-технологий. Учебное пособие;408;583;30;Баланов Антон Николаевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1009579/
Комплексное руководство по разработке. От мобильных приложений до веб-технологий. Учебное пособие;2714;3877;30;Баланов Антон Николаевич;Лань;На складе;https://www.labirint.ru/books/1009583/
Бэкенд-разработка веб-приложений. Архитектура, проектирование и управление проектами.Учебное пособие;433;619;30;Баланов Антон Николаевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1009584/
Бэкенд-разработка веб-приложений. Архитектура, проектирование и управление проектами.Учебное пособие;2055;2936;30;Баланов Антон Николаевич;Лань;На складе;https://www.labirint.ru/books/1009586/
Программирование на Python. Том 1;2881;4115;30;Лутц Марк;Вильямс;Скоро закончится;https://www.labirint.ru/books/1008860/
Python. Создай свою первую игру с нуля! Самоучитель в примерах;693;990;30;Кенлон, Вейхлер;АСТ;На складе (ограниченное количество);https://www.labirint.ru/books/1009412/
Основы программирования на языке Java. Учебное пособие для вузов;3210;4586;30;Курбатова, Печкуров;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1008132/
Основы программирования на языке Java. Учебное пособие СПО;2793;3990;30;Печкуров, Курбатова;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1008135/
Программирование в среде Octave. Учебное пособие;2292;3274;30;Фролов Александр Борисович;Лань;На складе;https://www.labirint.ru/books/1008136/
Программирование в среде Octave. СПО;2292;3274;30;Фролов Александр Борисович;Лань;На складе;https://www.labirint.ru/books/1008141/
Разработка программного обеспечения АСУ ТП. Методическое пособие;937;1339;30;Мякишев Дмитрий Владимирович;Инфра-Инженерия;На складе;https://www.labirint.ru/books/1006747/
Настольная книга игродела;Нет в продаже;Нет в продаже;Скидки нет;Грис Слава;АСТ;Не данных о наличии книги;https://www.labirint.ru/books/1005837/
Python-интенсив. 50 быстрых упражнений;876;1251;30;Лернер Реувен;АСТ;На складе;https://www.labirint.ru/books/1004359/
Теория языков и языковых процессоров. Учебник для вузов;2117;3024;30;Шорников Юрий Владимирович;Лань;На складе;https://www.labirint.ru/books/1003799/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Криптографические протоколы. Схемы разделения секрета. Учебное пособие;2215;3164;30;Рацеев Сергей Михайлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003391/
Программирование в примерах и задачах. Учебное пособие для вузов;2398;3426;30;Маран, Батасова, Гречкина;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/999268/
Arduino Uno и Raspberry Pi 4. От схемотехники к интернету вещей;1700;2428;30;Макаров Сергей Львович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/999784/
BDD в действии;3398;4854;30;Смарт, Молак;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/999785/
Math CAD и Python. Обучение по технологии STEM. Учебное пособие;6289;8984;0;Очков, Тихонов;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/994886/
Разработка серверной части веб-ресурса.Учебное пособие;2010;2872;30;Никулин, Сорокин, Олейников;Лань;На складе;https://www.labirint.ru/books/994888/
Реализации некоторых криптосистем и корректирующих кодов. Учебное пособие;2656;3794;30;Рацеев Сергей Михайлович;Лань;На складе;https://www.labirint.ru/books/994889/
Логистические системы. Анализ и синтез структурно-функционального облика. Учебное пособие;2029;2899;30;Лысенков Александр Иванович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/994894/
Методы восстановления непараметрической регрессии в условиях несбалансированных данных. Монография;1067;1524;30;Пылов, Дягилева, Майтак;Инфра-Инженерия;На складе (ограниченное количество);https://www.labirint.ru/books/990595/
Знакомьтесь, Python. Секреты профессии;737;1053;30;Павлов Евгений Иванович;АСТ;На складе;https://www.labirint.ru/books/980111/
Численные методы безусловной оптимизации. Учебное пособие;1314;1877;30;Каныгин, Колесникова;Инфра-Инженерия;На складе;https://www.labirint.ru/books/984959/
ESP32-C3. Беспроводное приключение. Полное руководство по IoT;2719;3884;30;Нет данных об авторе;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/985354/
Практикум. Демонстрационный экзамен базового уровня. Сетевое и системное администрирование. СПО;1767;2524;30;Уймин Антон Григорьевич;Лань;На складе;https://www.labirint.ru/books/982180/
Программная инженерия. Интеграционный подход к разработке. Учебник;1992;2846;30;Турнецкая, Аграновский;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/982183/
Моделирование информационных систем. Unified Modeling Language. Учебное пособие для вузов;923;1319;30;Нет данных об авторе;Лань;На складе;https://www.labirint.ru/books/982538/
Сверхбыстрый Python. Эффективные техники для работы с большими наборами данных;3059;4370;30;Антао Тиаго;ДМК-Пресс;На складе;https://www.labirint.ru/books/981608/
Информационная безопасность. Защита и нападение;2548;3640;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981050/
Язык C. Мастерство программирования. Принципы, практики и паттерны;2548;3640;30;Прешерн Кристофер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981052/
Java. устранение проблем. Чтение, отладка и оптимизация JVM-приложений;2548;3640;30;Спилкэ Лауренциу;ДМК-Пресс;На складе;https://www.labirint.ru/books/979032/
Архитектура встраиваемых систем;2548;3640;30;Лакамера Даниэле;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/979033/
Машинное зрение. Основы и алгоритмы с примерами на Matlab;4248;6069;30;Корк Питер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/974775/
Изучаем RAY. Гибкие распределенные вычисления на Python в машинном обучении;2379;3398;30;Пумперла, Оукс, Ляо;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/974441/
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;1435;2050;30;Залогова Любовь Алексеевна;Лань;На складе;https://www.labirint.ru/books/646724/
Как создаются игры. Основы разработки для начинающих игроделов;1328;1897;30;Радовильский, Андрианова;Бомбора;На складе (ограниченное количество);https://www.labirint.ru/books/968174/
Разработка SCADA-систем. Учебное пособие;1885;2693;30;Кангин, Кангин, Ямолдинов;Инфра-Инженерия;На складе;https://www.labirint.ru/books/971175/
PHP и MYSQL. Серверная веб-разработка;2998;4283;30;Дакетт Джон;Бомбора;На складе;https://www.labirint.ru/books/958622/
Pyomo. Моделирование оптимизации на Python;2038;2912;30;Бинум, Харт, Хакебейл;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/968744/
Основы вычислений и программирования в пакете MathCAD PRIME. Учебное пособие;2066;2952;30;Воскобойников, Задорожный;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/530507/
Современные подходы в программировании при создании интерактивной анимации на С# и Unity;1919;2741;30;Курбанисмаилов Заур Магомедович;Лань;На складе;https://www.labirint.ru/books/961867/
Clojure на производстве. Зипперы, базы данных, REPL;2379;3398;30;Гришаев Иван;ДМК-Пресс;На складе;https://www.labirint.ru/books/961513/
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум;813;1162;30;Баллод, Гвоздева;Лань;На складе;https://www.labirint.ru/books/779880/
Компьютерная геометрия и графика в web-разработке. Учебное пособие для СПО;1252;1788;30;Васильев Николай Павлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/960317/
Создание игровой логики. Практикум;491;702;30;Капанов, Лямин;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/960318/
Компьютерное моделирование химико-технологических процессов в программе Aspen Plus;2985;4264;30;Перерва, Гартман;Лань;На складе;https://www.labirint.ru/books/960319/
Создание игровой логики. Практикум;491;702;30;Капанов, Лямин;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/960320/
Разработка защищенных программных средств информатизации производственных процессов предприятия;1347;1924;30;Бабушкин, Тумбинская;Инфра-Инженерия;На складе;https://www.labirint.ru/books/959154/
Julia в качестве второго языка;3230;4614;30;Энгхейм Эрик;ДМК-Пресс;На складе;https://www.labirint.ru/books/959903/
Защита и укрепление Linux;3398;4854;30;Треволт Дональд А.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/959904/
JavaScript. Рецепты для разработчиков;2014;2877;30;Скотт, Пауэрс, Макдоналд;Питер;На складе (ограниченное количество);https://www.labirint.ru/books/958315/
Линейное программирование. Часть 1. Учебное пособие для бакалавриата;421;601;30;Шандра Игорь Георгиевич;Прометей;На складе;https://www.labirint.ru/books/955790/
Level up! Руководство по созданию классных видеоигр;1665;2378;30;Роджерс Скотт;Бомбора;На складе;https://www.labirint.ru/books/912074/
Введение в программирование. Учебное пособие;657;938;30;Волкова Татьяна Ивановна;Директмедиа Паблишинг;На складе;https://www.labirint.ru/books/950181/
NeoBook. Практикум по быстрому программированию с нуля;795;1136;30;Лёвкин Вадим Евгеньевич;Директмедиа Паблишинг;На складе (ограниченное количество);https://www.labirint.ru/books/950857/
Разработка веб-приложений с Quarkus и React;2379;3398;30;Марк Нури Сан Феликс;ДМК-Пресс;На складе;https://www.labirint.ru/books/954710/
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие;645;921;30;Букунов, Букунова;Лань;На складе;https://www.labirint.ru/books/952662/
Микросервисы Spring в действии;3059;4370;30;Карнелл, Санчес;ДМК-Пресс;На складе;https://www.labirint.ru/books/840961/
Анализ поведенческих данных на R и PYTHON;2548;3640;30;Бюиссон Флоран;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828096/
Искусство автономного тестирования с примерами на С#;1868;2668;30;Ошероув Рой;ДМК-Пресс;На складе;https://www.labirint.ru/books/427977/
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие;480;686;30;Лукьянов Павел Борисович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/941786/
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;2881;4115;30;Джоши Пратик;Вильямс;На складе;https://www.labirint.ru/books/681061/
Генетические алгоритмы на Python;2209;3155;30;Вирсански Эйял;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/756485/
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие;2878;4112;30;Заяц, Логачев;Лань;На складе;https://www.labirint.ru/books/952663/
Программирование микропроцессорных систем на языке С-51. Учебное пособие;1308;1869;30;Микушин Александр Владимирович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/952665/
Программирование микропроцессорных систем на языке С-51. Учебное пособие для СПО;1138;1625;30;Микушин Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/952668/
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для вузов;469;670;30;Микушин Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/952672/
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО;408;583;30;Микушин Александр Владимирович;Лань;На складе;https://www.labirint.ru/books/952676/
Информационные технологии в инженерных расчетах. SMath и Python. Учебное пособие;2825;4036;30;Очков, Орлов, Чудова;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/951676/
Языки программирования. Python. Решение сложных задач. Учебное пособие для вузов;1772;2531;30;Борзунов, Кургалин;Лань;На складе;https://www.labirint.ru/books/951696/
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО;1541;2202;30;Борзунов, Кургалин;Лань;На складе;https://www.labirint.ru/books/951701/
Практикум по программированию на PascalABC.NET;506;723;30;Савина Елена Владимировна;Директмедиа Паблишинг;На складе (ограниченное количество);https://www.labirint.ru/books/947275/
Парадигмы моделирования и программирования задач предметных областей знаний. Монография;1500;2143;30;Лаврищева, Петров, Петренко;Директмедиа Паблишинг;На складе (ограниченное количество);https://www.labirint.ru/books/947651/
Python за 7 дней. Краткий курс для начинающих;889;1270;30;Парк Эндрю;Питер;На складе;https://www.labirint.ru/books/950189/
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях;1418;2026;30;Шипилов Игорь Викторович;Наш круг;На складе;https://www.labirint.ru/books/946802/
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография;1023;1462;30;Пылов, Дягилева, Майтак;Инфра-Инженерия;На складе;https://www.labirint.ru/books/942918/
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие;480;686;30;Лукьянов Павел Борисович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/941786/
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI;2974;4248;30;Розема, Влотман;ДМК-Пресс;На складе;https://www.labirint.ru/books/941847/
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля;4248;6069;30;Меле Антонио;ДМК-Пресс;На складе;https://www.labirint.ru/books/941848/
Введение в автоматизированное машинное обучение (AutoML);2548;3640;30;Хуттер, Коттхофф, Ваншорен;ДМК-Пресс;На складе;https://www.labirint.ru/books/941850/
Анализ алгоритмов. Активный обучающий подход;496;708;30;Макконнел Джеффри Дж.;Техносфера;На складе;https://www.labirint.ru/books/939430/
Технология Java Card для смарт-карт. Архитектура и руководство программиста;244;349;30;Чен Жикун;Техносфера;На складе;https://www.labirint.ru/books/939567/
Методы анализа логических корреляций для САПР цифровых КМОП СБИС;207;295;30;Гаврилов Сергей Витальевич;Техносфера;На складе;https://www.labirint.ru/books/939582/
Цифровая обработка изображений;1470;2100;30;Гонсалес, Вудс;Техносфера;На складе;https://www.labirint.ru/books/939584/
Цифровые видеоинформационные системы. Теория и практика;1201;1715;30;Дворкович, Дворкович;Техносфера;На складе;https://www.labirint.ru/books/939586/
Цифровая обработка сигналов атомарными функциями и вейвлетами;732;1045;30;Кравченко, Чуриков;Техносфера;На складе;https://www.labirint.ru/books/939587/
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка;1950;2786;30;Краудер Ти Джей;Бомбора;На складе;https://www.labirint.ru/books/936301/
JavaScript. Креативное программирование. Учебное пособие для вузов;2141;3058;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938321/
JavaScript. Креативное программирование. Учебное пособие;1862;2660;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938322/
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие;1329;1899;30;Бунаков Павел Юрьевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938323/
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие;1156;1652;30;Бунаков Павел Юрьевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938324/
Программирование. Лабораторный практикум. Учебное пособие;960;1372;30;Рацеев Сергей Михайлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938329/
Программирование. Лабораторный практикум. Учебное пособие;834;1192;30;Рацеев Сергей Михайлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938330/
Программирование. Основы Python для инженеров. Учебное пособие для вузов;1131;1616;30;Никитина, Королев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938331/
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие;574;820;30;Букунов, Букунова;Лань;На складе;https://www.labirint.ru/books/938333/
Усовершенствованные структуры данных;3398;4854;30;Брасс Петер;ДМК-Пресс;На складе;https://www.labirint.ru/books/937791/
Методы линейного программирования;436;623;30;Божко, Беломойцев, Волосатова;Издательство МГТУ им. Н.Э.Баумана;На складе (ограниченное количество);https://www.labirint.ru/books/932819/
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей;3398;4854;30;Антонопулос, Осунтокун, Пикхардт;ДМК-Пресс;На складе;https://www.labirint.ru/books/935200/
Python и анализ данных;3059;4370;30;МакКинни Уэс;ДМК-Пресс;На складе;https://www.labirint.ru/books/934317/
Алгоритмы;3398;4854;30;Эриксон Джефф;ДМК-Пресс;На складе;https://www.labirint.ru/books/934318/
Алгоритмы принятия решений;4248;6069;30;Кохендерфер, Уилер, Рэй;ДМК-Пресс;На складе;https://www.labirint.ru/books/934319/
Алгоритмы биоинформатики;4078;5826;30;Компо, Певзнер;ДМК-Пресс;На складе;https://www.labirint.ru/books/931230/
